Metabolite	Pubchem	ChEBI	CAS	KEGG	RI	LB_1_1	LB_1_2	LB_2_1	LB_2_2	LB_3_1	LB_3_2	 LPM4H_1_1	 LPM4H_1_2	 LPM4H_2_1	 LPM4H_2_2	 LPM4H_3_1	 LPM4H_3_2	 LPM20H_1_1	 LPM20H_1_2	 LPM20H_2_1	 LPM20H_2_2	 LPM20H_3_1	 LPM20H_3_2
phosphoric acid	1004	CHEBI:26078	7664-38-2	C00009  	950.63	-0.043166042	0.408611659	-1.436416067	1.143848634	-0.141320759	1.83323639	0.293376524	-0.621959959	-0.800433064	0.86535928	0.283289481	1.318640847	-2.068391147	-1.03326536	-0.468019367	-0.556149106	0.514079622	0.508678435
phosphoenolpyruvic acid	1005	CHEBI:44897	138-08-9	C00074  	1275.61	1.089115143	0.870653291	-0.249342267	-0.727558695	-1.46685778	-1.296272407	-1.220390347	-0.567013672	-0.709809913	-0.893603827	-0.007982697	-0.578170204	1.071078479	0.215021787	1.481754197	0.475527016	1.709603433	0.804248462
pyrophosphate	1023	CHEBI:29888	14000-31-8	C00013	1345.56	-0.317246971	0.445403333	-0.709244701	-0.759697397	-0.572708278	-0.971143018	-0.970804624	-0.254525605	-1.065162088	-0.221878084	-0.303365289	-0.583311297	2.844979216	0.891224541	1.511867717	0.551666634	0.497893915	-0.013948003
putrescine	1045	CHEBI:17148	110-60-1	C00134	1413.8	-1.324758209	-1.417948596	-1.19432979	-1.44867905	-1.235576814	-1.167392059	-0.143591182	0.042004614	0.74253448	0.675953149	0.385367801	0.356296107	1.031596778	1.060241365	0.98433814	0.840584228	0.960706256	0.85265278
pyruvic acid	1060	CHEBI:32816	127-17-3	C00022	721.67	1.571947715	0.847018199	1.483399224	0.725888092	1.6020669	0.878895707	0.099933535	0.592088573	-0.41807585	-0.953336271	-0.286701345	-0.475178958	-0.672566183	-0.5012805	-0.766449665	-1.047978242	-1.258462998	-1.421207934
L-(+) lactic acid	107689	CHEBI:422	79-33-4	C00186	732.96	-0.1501733	-0.651626293	-0.90865572	-0.238656748	-0.836048682	-0.589145623	-0.520136613	-0.462708494	-1.208023659	2.326712563	1.384245811	2.21216254	-0.154553879	-0.109382876	0.149887877	0.323460889	-0.541461103	-0.02589669
myristic acid	11005	CHEBI:28875	544-63-8	C06424	1524.35	0.703488744	-0.047758834	0.648105562	-0.002385655			-1.22849508	-1.718590767	-0.795159835	-1.013025204	0.356841743	-0.751596447	1.511599662	0.753963487	1.796697181	0.800856374	-0.381261564	-0.633279368
spermidine	1102	CHEBI:16610	124-20-9	C00315	1929.05	1.774852029	1.593389697	1.438999256	1.179581188	0.981873559	1.138475518	-0.84276597	-0.781894987	-0.625248588	-0.696009811	-0.737807263	-0.795457875	-0.558116711	-0.596147645	-0.533400117	-0.696695634	-0.574411638	-0.669215008
succinic acid	1110	CHEBI:15741	110-15-6	C00042	989.72	-2.042031354	-2.051947453	-0.924342306	-0.523994449	-0.349213039	0.300620217	0.864096926	0.565896755	0.629506015	1.658203734	0.478129195	1.397702738	-0.316788444	-0.050977482	-0.54594428	0.14791096	0.090712	0.672460266
thymine	1135	CHEBI:17821	65-71-4	C00178	1076.08	-0.621738408	-0.974270688	-0.72946679	-1.025583891	-1.747206738	-1.697003375	-0.592201973	-0.342905115	1.608239883	1.232979734	0.687376432	-0.017258725	0.647997383	0.654188648	0.728011268	0.441059082	0.863260069	0.884523206
uracil	1174	CHEBI:17568	66-22-8	C00106	1012.87	-0.702580345	-1.098902483	0.242719908	-0.161185814	-1.772282805	-1.576246128	0.287753272	0.636346288	1.8338028	1.464423143	1.377271751	0.890454021	-0.200509825	-0.359528945	0.112748378	-0.800627885	0.093740039	-0.267395369
urea	1176	CHEBI:16199	57-13-6	C00086	923.79	-1.238902554	-1.215919624	-0.836294924	-0.864970583	-1.268319803	-1.006884252	0.517660754	0.858762198			1.18285563	1.075324303	0.528919482	0.429511801	1.236854282	0.601403288		
urocanic acid	1178	CHEBI:27248	104-98-3	C00785	1573.62	-1.204584823	-1.204584823	-1.204584823	-1.204584823	-1.204584823	-1.204584823	-0.230738588	-0.065113175	0.2066024	1.093622575	-0.03965704	0.787965486	0.28512655	0.671784602	0.551108762	1.501562873	0.882267853	1.582976638
xanthine	1188	CHEBI:17712	69-89-6	C00385	1689.29	0.083609488	-0.677329328	-0.786315649	-1.233126159	-1.004442774	-0.902319333	-0.673282239	-0.017740253	-0.086673854	-0.385757781	-0.738812193	-1.036584503	1.268008529	0.900914218	1.660723557	0.705055008	1.904902844	1.019170421
L-homoserine	12647	CHEBI:15699	672-15-1	C00263	1128.05	-0.867739719	-0.882537775	-0.544902683	-0.525521593	-0.700830873	-0.875214627	2.136142688	2.459253693	-0.507257697	-0.608045717			0.306964395	0.168668949	0.341578134	0.351376676	-0.074579818	-0.177354033
adenosine	60961	CHEBI:16335	58-61-7	C00212	2302.86	-0.538164	-0.388669492	0.886881303	0.597864554	-0.815358261	-0.69008243	-1.125730654	-0.753884753	-1.001447591	-1.056963472			1.633390217	1.35916444			0.870358474	1.022641665
2'-deoxycytidine 5'-monophosphoric acid	13945	CHEBI:15918	1032-65-1	C00239	1470.78	-0.217562426	-0.6170056	0.085347147	-0.085120681	-0.666667369	-0.688583734	-1.348318121	-1.260231905			-1.065425457	-0.958488949	1.010404029	0.765412053	1.070152231	1.080040246	1.265218096	1.630830439
adenine	190	CHEBI:16708	73-24-5	C00147	1541.2	1.013084116	1.16537907	1.18573575	0.863786471	-0.48106921	-0.141962604	-1.449915708	-1.359668826	-1.03831385	-1.276490161	-1.047107615	-1.294805803	0.819754423	0.517844367	0.774581745	0.218728903	0.868514748	0.661924185
Beta- alanine	239	CHEBI:16958	107-95-9	C00099 	1310.68	1.307736371	-3.299811834	1.793279598	1.13832786	0.936196256	1.421887428	-0.669170267	-0.527105424	-0.166241378	-0.092614861	-1.353082497	-0.623269518	-1.090146529	0.246146199	-0.816562291	-0.862058877	-1.040325738	0.397003668
L-glutamic acid	33032	CHEBI:16015	56-86-0	C00025	1297.52	-0.903396334	-0.891421218	-0.598530259	-0.675493	-0.87305204	-0.834048742	-0.904140621	-0.809898552	0.155738038	-0.004747579	-0.723790202	-0.725843002	1.235663287	1.171200852	1.118031824	0.942358469	1.750399646	1.570969434
1,3-diaminopropane	428	CHEBI:15725	109-76-2	C00986	1458.24	0.522599225	0.48791372	1.339671304	2.253463817	1.110708364	1.799334679	-0.452391645	-0.521955709	-0.389069685	-0.443897236	-0.419250579	-0.396663172	-0.81507718	-0.81507718	-0.81507718	-0.81507718	-0.81507718	-0.81507718
